adm_no,status,marks,note,subject,subject_id
18ME00P001,0,20,,ENGLISH,14
22ME00B1576,0,20,,ENGLISH,14
23ME00G1842,0,20,,ENGLISH,14
23ME00B1900,0,20,,ENGLISH,14
23ME00G2015,0,20,,ENGLISH,14
23ME00B2058,0,20,,ENGLISH,14
23ME00B2115,0,20,,ENGLISH,14
23ME00B2157,0,20,,ENGLISH,14
23ME00G2186,0,20,,ENGLISH,14
23ME00G2265,0,20,,ENGLISH,14
23ME00B2542,0,20,,ENGLISH,14
23ME00B2568,0,20,,ENGLISH,14
23ME00B2587,0,20,,ENGLISH,14
23ME00B2608,0,20,,ENGLISH,14
23ME00B2664,0,20,,ENGLISH,14
23ME00B2685,0,20,,ENGLISH,14
23ME00B2559,0,20,,ENGLISH,14
23ME00B2282,0,20,,ENGLISH,14
23ME00B2281,0,20,,ENGLISH,14
23ME00G2492,0,20,,ENGLISH,14
23ME00B2602,0,20,,ENGLISH,14
23ME00G2717,0,20,,ENGLISH,14
23ME00B2741,0,20,,ENGLISH,14
23ME00G2751,0,20,,ENGLISH,14
23ME00B2758,0,20,,ENGLISH,14
23ME00G2770,0,20,,ENGLISH,14
MES-000000026,0,20,,ENGLISH,14
