adm_no,status,marks,note,subject,subject_id
22ME00B1578,0,20,,ENGLISH,6
22ME00B1587,0,20,,ENGLISH,6
22ME00G1586,0,20,,ENGLISH,6
22ME00G1758,0,20,,ENGLISH,6
22ME00G1654,0,20,,ENGLISH,6
22ME00B1655,0,20,,ENGLISH,6
18ME00P001,0,20,,ENGLISH,6
22ME00B1311,0,20,,ENGLISH,6
22ME00G1310,0,20,,ENGLISH,6
22ME00G1358,0,20,,ENGLISH,6
22ME00G1373,0,20,,ENGLISH,6
22ME00B1374,0,20,,ENGLISH,6
22ME00B1379,0,20,,ENGLISH,6
22ME00G1387,0,20,,ENGLISH,6
22ME00B1390,0,20,,ENGLISH,6
22ME00B1395,0,20,,ENGLISH,6
22ME00G1471,0,20,,ENGLISH,6
22ME00G1526,0,20,,ENGLISH,6
22ME00G1527,0,20,,ENGLISH,6
21ME00G1130,0,20,,ENGLISH,6
21ME00B1154,0,20,,ENGLISH,6
22ME00B1529,0,20,,ENGLISH,6
22ME00B1578,0,20,,MATHEMATICS,7
22ME00B1587,0,20,,MATHEMATICS,7
22ME00G1586,0,20,,MATHEMATICS,7
22ME00G1758,0,20,,MATHEMATICS,7
22ME00G1654,0,20,,MATHEMATICS,7
22ME00B1655,0,20,,MATHEMATICS,7
18ME00P001,0,20,,MATHEMATICS,7
22ME00B1311,0,20,,MATHEMATICS,7
22ME00G1310,0,20,,MATHEMATICS,7
22ME00G1358,0,20,,MATHEMATICS,7
22ME00G1373,0,20,,MATHEMATICS,7
22ME00B1374,0,20,,MATHEMATICS,7
22ME00B1379,0,20,,MATHEMATICS,7
22ME00G1387,0,20,,MATHEMATICS,7
22ME00B1390,0,20,,MATHEMATICS,7
22ME00B1395,0,20,,MATHEMATICS,7
22ME00G1471,0,20,,MATHEMATICS,7
22ME00G1526,0,20,,MATHEMATICS,7
22ME00G1527,0,20,,MATHEMATICS,7
21ME00G1130,0,20,,MATHEMATICS,7
21ME00B1154,0,20,,MATHEMATICS,7
22ME00B1529,0,20,,MATHEMATICS,7
